,SEQ,PERIOD,AUC,ACC,PRECISION_0,PRECISION_1,zeros,ones,ratio
0,1,1,0.4720853858784893,0.45490716180371354,0.4424131627056673,0.48792270531400966,547,207,2.642512077294686
1,1,2,0.49887133182844245,0.5862068965517241,0.0,0.5869853917662683,1,753,0.0013280212483399733
2,1,3,0.49774774774774777,0.5869853917662683,0.0,0.5885486018641811,2,751,0.002663115845539281
3,1,4,0.5022295805739515,0.602921646746348,0.6666666666666666,0.6026666666666667,3,750,0.004
4,2,1,0.4926108374384237,0.473474801061008,0.45663716814159294,0.5238095238095238,565,189,2.9894179894179893
5,2,2,0.49822689871113374,0.5856573705179283,0.25,0.5874499332443258,4,749,0.0053404539385847796
6,2,3,0.49858960902650223,0.5856573705179283,0.36363636363636365,0.5889487870619946,11,742,0.014824797843665768
7,2,4,0.49562913907284767,0.5936254980079682,0.2857142857142857,0.5994587280108254,14,739,0.018944519621109608
8,3,1,0.4822051936994466,0.46215139442231074,0.4506065857885615,0.5,577,176,3.278409090909091
9,3,2,0.49645379742226753,0.5830013280212484,0.25,0.5865771812080537,8,745,0.010738255033557046
10,3,3,0.5005575964313829,0.5856573705179283,0.42105263157894735,0.5899182561307902,19,734,0.025885558583106268
11,3,4,0.502317880794702,0.5976095617529881,0.43478260869565216,0.6027397260273972,23,730,0.031506849315068496
12,4,1,0.4770221370796084,0.4541832669322709,0.4479338842975207,0.4797297297297297,605,148,4.087837837837838
13,4,2,0.4935520279618437,0.5790172642762285,0.23076923076923078,0.5851351351351352,13,740,0.01756756756756757
14,4,3,0.5016837225575089,0.5869853917662683,0.4444444444444444,0.5904761904761905,18,735,0.024489795918367346
15,4,4,0.5317688837700355,0.6050531914893617,0.5098039215686274,0.62,102,650,0.15692307692307692
16,5,1,0.4954235845040442,0.47941567065073043,0.458955223880597,0.5299539170506913,536,217,2.4700460829493087
17,5,2,0.498874972693512,0.5830013280212484,0.3888888888888889,0.5877551020408164,18,735,0.024489795918367346
18,5,3,0.5156780156780156,0.5930851063829787,0.5192307692307693,0.5985714285714285,52,700,0.07428571428571429
19,5,4,0.5212666208923048,0.5930851063829787,0.46788990825688076,0.614307931570762,109,643,0.16951788491446346
20,6,1,0.49104938271604937,0.4714475431606906,0.4562937062937063,0.5193370165745856,572,181,3.160220994475138
21,6,2,0.5005698130574854,0.5811170212765957,0.4166666666666667,0.5893854748603352,36,716,0.05027932960893855
22,6,3,0.51504914004914,0.5917553191489362,0.509090909090909,0.5982783357245337,55,697,0.07890961262553801
23,6,4,0.5266820232267972,0.5811170212765957,0.45348837209302323,0.6189655172413793,172,580,0.296551724137931
24,7,1,0.4853274984879211,0.46941489361702127,0.45112781954887216,0.5136363636363637,532,220,2.418181818181818
25,7,2,0.4950762307596777,0.5757978723404256,0.3611111111111111,0.5865921787709497,36,716,0.05027932960893855
26,7,3,0.5176670176670177,0.5930851063829787,0.5166666666666667,0.5997109826589595,60,692,0.08670520231213873
27,7,4,0.5082262915388832,0.5459387483355526,0.4092827004219409,0.6089494163424124,237,514,0.46108949416342415
28,8,1,0.496025901021098,0.48138297872340424,0.45857418111753373,0.5321888412017167,519,233,2.227467811158798
29,8,2,0.4871353744329264,0.5704787234042553,0.23076923076923078,0.5826446280991735,26,726,0.03581267217630854
30,8,3,0.5235297997713347,0.59254327563249,0.5119047619047619,0.6026986506746627,84,667,0.12593703148425786
31,8,4,0.5148488080951746,0.5539280958721704,0.4199134199134199,0.6134615384615385,231,520,0.4442307692307692
32,9,1,0.4863521542676202,0.4720744680851064,0.45155038759689925,0.5169491525423728,516,236,2.1864406779661016
33,9,2,0.49291247492275475,0.5739014647137151,0.3333333333333333,0.584958217270195,33,718,0.04596100278551532
34,9,3,0.5171755445457478,0.5885486018641811,0.49333333333333335,0.599112426035503,75,676,0.11094674556213018
35,9,4,0.5044742729306487,0.5379494007989347,0.4031620553359684,0.606425702811245,253,498,0.5080321285140562
36,10,1,0.4883870231403544,0.47536617842876167,0.4534653465346535,0.5203252032520326,505,246,2.0528455284552845
37,10,2,0.4919533160538301,0.5699067909454061,0.34782608695652173,0.5843971631205673,46,705,0.06524822695035461
38,10,3,0.5178095042654862,0.5898801597869507,0.5,0.5994108983799705,72,679,0.10603829160530191
39,10,4,0.4976810043035208,0.5346666666666666,0.3925619834710744,0.6023622047244095,242,508,0.4763779527559055
40,11,1,0.4769737780694496,0.4580559254327563,0.44680851063829785,0.4919786096256685,564,187,3.016042780748663
41,11,2,0.48274612309449544,0.5579227696404794,0.3050847457627119,0.5794797687861272,59,692,0.08526011560693642
42,11,3,0.511727854942243,0.5826666666666667,0.4625,0.5970149253731343,80,670,0.11940298507462686
43,11,4,0.4982384551920976,0.5213333333333333,0.3938356164383562,0.6026200873362445,292,458,0.6375545851528385
44,12,1,0.4817388078865523,0.4647137150466045,0.44954128440366975,0.5048543689320388,545,206,2.645631067961165
45,12,2,0.49574004359025164,0.5653333333333334,0.3924050632911392,0.5856929955290611,79,671,0.11773472429210134
46,12,3,0.530257130462276,0.5933333333333334,0.509090909090909,0.6078125,110,640,0.171875
47,12,4,0.5003902156220037,0.5253333333333333,0.39649122807017545,0.6043010752688172,285,465,0.6129032258064516
48,13,1,0.4821510330223774,0.46266666666666667,0.4495575221238938,0.5027027027027027,565,185,3.054054054054054
49,13,2,0.48990599476036367,0.5573333333333333,0.3707865168539326,0.5824508320726173,89,661,0.1346444780635401
50,13,3,0.5173270784773641,0.5733333333333334,0.45390070921985815,0.6009852216748769,141,609,0.2315270935960591
51,13,4,0.49346667558588087,0.5106666666666667,0.3885350318471338,0.5986238532110092,314,436,0.7201834862385321
52,14,1,0.5005293881989354,0.4786666666666667,0.4616695059625213,0.5398773006134969,587,163,3.6012269938650308
53,14,2,0.49297712612553113,0.5586666666666666,0.3854166666666667,0.5840978593272171,96,654,0.14678899082568808
54,14,3,0.5092977257520166,0.5626666666666666,0.43137254901960786,0.5963149078726968,153,597,0.2562814070351759
55,14,4,0.4904838613447885,0.49132176234979974,0.38605898123324395,0.5957446808510638,373,376,0.9920212765957447
56,15,1,0.5093930635838151,0.48933333333333334,0.46748681898066785,0.5580110497237569,569,181,3.143646408839779
57,15,2,0.4944191268740506,0.5546666666666666,0.3949579831932773,0.5847860538827259,119,631,0.18858954041204437
58,15,3,0.510154325085941,0.5634178905206942,0.432258064516129,0.5976430976430976,155,594,0.2609427609427609
59,15,4,0.5008688324085675,0.5060080106809078,0.3960674157303371,0.6055979643765903,356,393,0.905852417302799
60,16,1,0.5094145252675557,0.48533333333333334,0.46710526315789475,0.5633802816901409,608,142,4.28169014084507
61,16,2,0.5065450422593281,0.5607476635514018,0.42758620689655175,0.5927152317880795,145,604,0.24006622516556292
62,16,3,0.5024048746661945,0.5500667556742324,0.4134078212290503,0.5929824561403508,179,570,0.3140350877192982
63,16,4,0.5006674721078694,0.5100133511348465,0.39589442815249265,0.6053921568627451,341,408,0.8357843137254902
64,17,1,0.5202288707131583,0.4993324432576769,0.4737762237762238,0.5819209039548022,572,177,3.231638418079096
65,17,2,0.5020098948670377,0.5554072096128171,0.4161073825503356,0.59,149,600,0.24833333333333332
66,17,3,0.49352675607489044,0.5353805073431241,0.39705882352941174,0.5871559633027523,204,545,0.3743119266055046
67,17,4,0.505516024874432,0.5200534759358288,0.40186915887850466,0.6088992974238876,321,427,0.7517564402810304
68,18,1,0.525570383125269,0.5060080106809078,0.4776386404293381,0.5894736842105263,559,190,2.942105263157895
69,18,2,0.4945629767058339,0.5460614152202937,0.3987341772151899,0.5854483925549916,158,591,0.2673434856175973
70,18,3,0.5099296128707893,0.5521390374331551,0.4271356783919598,0.5974499089253188,199,549,0.36247723132969034
71,18,4,0.514589811049988,0.5387700534759359,0.41403508771929826,0.6155507559395248,285,463,0.6155507559395248
72,19,1,0.5209140479265318,0.5060080106809078,0.47572815533980584,0.5726495726495726,515,234,2.200854700854701
73,19,2,0.489935064935065,0.5454545454545454,0.38571428571428573,0.5822368421052632,140,608,0.23026315789473684
74,19,3,0.4986173956762192,0.5441176470588235,0.40641711229946526,0.5900178253119429,187,561,0.3333333333333333
75,19,4,0.49908813680937575,0.5334224598930482,0.3944223107569721,0.6036217303822937,251,497,0.5050301810865191
76,20,1,0.5254863883194879,0.5080213903743316,0.4787430683918669,0.5845410628019324,541,207,2.6135265700483092
77,20,2,0.49724025974025976,0.5494652406417112,0.40522875816993464,0.5865546218487395,153,595,0.2571428571428571
78,20,3,0.49811463046757165,0.5441176470588235,0.40540540540540543,0.5896980461811723,185,563,0.3285968028419183
79,20,4,0.5161353149158028,0.5475234270414994,0.4186046511627907,0.6155419222903885,258,489,0.5276073619631901
80,21,1,0.5275398281008379,0.5120320855614974,0.48084291187739464,0.584070796460177,522,226,2.309734513274336
81,21,2,0.4926948051948052,0.5441176470588235,0.39490445859872614,0.583756345177665,157,591,0.2656514382402707
82,21,3,0.4938975590236095,0.5341365461847389,0.39903846153846156,0.5862708719851577,208,539,0.38589981447124305
83,21,4,0.5113299274884641,0.536813922356091,0.4107142857142857,0.6124197002141327,280,467,0.5995717344753747
84,22,1,0.5157154673283706,0.5040106951871658,0.4732510288065844,0.5610687022900763,486,262,1.8549618320610688
85,22,2,0.49538132710114485,0.5475234270414994,0.40131578947368424,0.584873949579832,152,595,0.25546218487394956
86,22,3,0.4899959983993597,0.5301204819277109,0.3923444976076555,0.5836431226765799,209,538,0.38847583643122674
87,22,4,0.5032547791694134,0.535475234270415,0.40077821011673154,0.6061224489795919,257,490,0.5244897959183673
88,23,1,0.5125728547521495,0.499330655957162,0.46987951807228917,0.5582329317269076,498,249,2.0
89,23,2,0.5096256249445316,0.5528781793842035,0.4308510638297872,0.59391771019678,188,559,0.3363148479427549
90,23,3,0.5014339068960918,0.5394912985274432,0.41203703703703703,0.591337099811676,216,531,0.4067796610169492
91,23,4,0.4988726253970156,0.5287817938420348,0.39473684210526316,0.6029106029106029,266,481,0.553014553014553
92,24,1,0.5042775116856137,0.49129852744310576,0.4637096774193548,0.545816733067729,496,251,1.9760956175298805
93,24,2,0.503760760879212,0.5448460508701473,0.41919191919191917,0.5901639344262295,198,549,0.36065573770491804
94,24,3,0.5011337868480726,0.5314591700133868,0.4112903225806452,0.591182364729459,248,499,0.4969939879759519
95,24,4,0.4866966966966967,0.517426273458445,0.3787878787878788,0.5933609958506224,264,482,0.5477178423236515
96,25,1,0.51175774712909,0.4979919678714859,0.4691848906560636,0.5573770491803278,503,244,2.0614754098360657
97,25,2,0.4986021950714433,0.5461847389558233,0.4093567251461988,0.5868055555555556,171,576,0.296875
98,25,3,0.4867572786690434,0.5254691689008043,0.3878504672897196,0.5808270676691729,214,532,0.40225563909774437
99,25,4,0.4760285285285285,0.5080428954423593,0.36398467432950193,0.5855670103092784,261,485,0.5381443298969072
100,26,1,0.5034624040625542,0.4899598393574297,0.4630738522954092,0.5447154471544715,501,246,2.0365853658536586
101,26,2,0.4955746308486034,0.5428954423592494,0.40350877192982454,0.5843478260869566,171,575,0.29739130434782607
102,26,3,0.4778149138443256,0.5067024128686327,0.37890625,0.573469387755102,256,490,0.5224489795918368
103,26,4,0.4802927927927928,0.5187667560321716,0.3670886075949367,0.5893909626719057,237,509,0.4656188605108055
104,27,1,0.5032757723012843,0.4879356568364611,0.4634615384615385,0.5442477876106194,520,226,2.3008849557522124
105,27,2,0.49552274209808456,0.5388739946380697,0.40425531914893614,0.5842293906810035,188,558,0.33691756272401435
106,27,3,0.4816473559120618,0.514745308310992,0.38235294117647056,0.5767716535433071,238,508,0.468503937007874
107,27,4,0.4852637994341781,0.5328859060402684,0.3712871287128713,0.5930018416206262,202,543,0.3720073664825046
108,28,1,0.49723764896448,0.4839142091152815,0.4590818363273453,0.5346938775510204,501,245,2.0448979591836736
109,28,2,0.50206813734211,0.5482573726541555,0.41714285714285715,0.5884413309982487,175,571,0.3064798598949212
110,28,3,0.48805216847559074,0.5261744966442953,0.39069767441860465,0.5811320754716981,215,530,0.4056603773584906
111,28,4,0.4825362667790285,0.5275167785234899,0.36792452830188677,0.5909943714821764,212,533,0.3977485928705441
112,29,1,0.5032323845886845,0.49195710455764075,0.46361746361746364,0.5433962264150943,481,265,1.8150943396226416
113,29,2,0.49703928794317814,0.5409395973154363,0.4076086956521739,0.5846702317290553,184,561,0.32798573975044565
114,29,3,0.4847358077627406,0.5275167785234899,0.3826530612244898,0.5792349726775956,196,549,0.3570127504553734
115,29,4,0.493709745380124,0.5395973154362416,0.3864734299516908,0.5985130111524164,207,538,0.3847583643122677
116,30,1,0.494338282201473,0.48456375838926175,0.45726495726495725,0.5306859205776173,468,277,1.6895306859205776
117,30,2,0.4943497577936937,0.5422818791946309,0.40119760479041916,0.583044982698962,167,578,0.2889273356401384
118,30,3,0.49013280331114983,0.5315436241610738,0.39303482587064675,0.5827205882352942,201,544,0.3694852941176471
119,30,4,0.49402750965250963,0.5362903225806451,0.3881278538812785,0.5980952380952381,219,525,0.41714285714285715
120,31,1,0.4908042394014962,0.48053691275167787,0.45454545454545453,0.5257352941176471,473,272,1.7389705882352942
121,31,2,0.49006656958602035,0.5355704697986577,0.39325842696629215,0.5802469135802469,178,567,0.31393298059964725
122,31,3,0.4870176381054705,0.532258064516129,0.3858695652173913,0.5803571428571429,184,560,0.32857142857142857
123,31,4,0.48956322393822393,0.5309139784946236,0.3811659192825112,0.5950095969289827,223,521,0.42802303262955854
124,32,1,0.4794119352780839,0.47516778523489933,0.4433734939759036,0.5151515151515151,415,330,1.2575757575757576
125,32,2,0.48431728821637077,0.5201612903225806,0.3881278538812785,0.5752380952380952,219,525,0.41714285714285715
126,32,3,0.49028561196167963,0.5349462365591398,0.3924731182795699,0.5824372759856631,186,558,0.3333333333333333
127,32,4,0.49288127413127414,0.5362903225806451,0.386046511627907,0.5973534971644613,215,529,0.4064272211720227
128,33,1,0.4793846288069913,0.4731182795698925,0.44341801385681295,0.5144694533762058,433,311,1.392282958199357
129,33,2,0.4926277850589777,0.5282258064516129,0.4018264840182648,0.580952380952381,219,525,0.41714285714285715
130,33,3,0.4924344166890501,0.532258064516129,0.39805825242718446,0.5836431226765799,206,538,0.3828996282527881
131,33,4,0.49728523166023164,0.5443548387096774,0.39303482587064675,0.6003683241252302,201,543,0.3701657458563536
132,34,1,0.48788378906960006,0.4838709677419355,0.45012165450121655,0.5255255255255256,411,333,1.2342342342342343
133,34,2,0.4810705349696175,0.5174731182795699,0.3824884792626728,0.573055028462998,217,527,0.4117647058823529
134,34,3,0.4903079953442564,0.5309139784946236,0.39408866995073893,0.5822550831792976,203,541,0.3752310536044362
135,34,4,0.49524608501118567,0.5450874831763123,0.3894736842105263,0.5985533453887885,190,553,0.3435804701627486
136,35,1,0.49241328166464304,0.49193548387096775,0.4535809018567639,0.5313351498637602,377,367,1.0272479564032697
137,35,2,0.49749791492910755,0.532258064516129,0.4099099099099099,0.5842911877394636,222,522,0.42528735632183906
138,35,3,0.48442664632595983,0.5208613728129206,0.38636363636363635,0.5774378585086042,220,523,0.42065009560229444
139,35,4,0.5075730092508616,0.5585464333781965,0.41304347826086957,0.6064400715563506,184,559,0.3291592128801431
140,36,1,0.49385283147815595,0.4946236559139785,0.4547945205479452,0.5329815303430079,365,379,0.9630606860158312
141,36,2,0.4968323222663838,0.531628532974428,0.4080717488789238,0.5846153846153846,223,520,0.4288461538461538
142,36,3,0.4872047980137898,0.5235531628532974,0.39090909090909093,0.5793499043977055,220,523,0.42065009560229444
143,36,4,0.5008842735352803,0.5491251682368775,0.4,0.6021897810218978,195,548,0.35583941605839414
144,37,1,0.4959438775510203,0.4979811574697174,0.45738636363636365,0.5345268542199488,352,391,0.9002557544757033
145,37,2,0.4976130352927114,0.5302826379542396,0.40948275862068967,0.5851272015655578,232,511,0.45401174168297453
146,37,3,0.4894931275332406,0.5262449528936743,0.3944954128440367,0.580952380952381,218,525,0.41523809523809524
147,37,4,0.4888422615440553,0.532345013477089,0.38028169014084506,0.5935727788279773,213,529,0.40264650283553877
148,38,1,0.49907069970845486,0.5020188425302826,0.4606413994169096,0.5375,343,400,0.8575
149,38,2,0.49043346382571795,0.5235531628532974,0.39826839826839827,0.580078125,231,512,0.451171875
150,38,3,0.49075664928536594,0.5296495956873315,0.3952380952380952,0.5827067669172933,210,532,0.39473684210526316
151,38,4,0.4854638831656769,0.5296495956873315,0.3744075829383886,0.591337099811676,211,531,0.3973634651600753
152,39,1,0.5009438775510204,0.5033647375504711,0.46264367816091956,0.5392405063291139,348,395,0.8810126582278481
153,39,2,0.48696558133956946,0.5161725067385444,0.39357429718875503,0.5780933062880325,249,493,0.5050709939148073
154,39,3,0.5007127583749109,0.5431266846361186,0.41237113402061853,0.5894160583941606,194,548,0.354014598540146
155,39,4,0.4961368318991637,0.5404312668463612,0.3923444976076555,0.5984990619136961,209,533,0.3921200750469043
